Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Josh McEachran,J. McEachran,Bristol Rovers FC,Midfield,ENG - League Two,8.7,20.3,6.2,0.6
Julian Brandt,J. Brandt,Borussia Dortmund,Midfield,GER - Bundesliga,74.6,31.5,56.2,52.7
Kenny Lala,K. Lala,Stade Brestois 29,Full Back,FRA - Ligue 1,57.9,80.9,51.1,26.8
Kenny McLean,K. McLean,Norwich City,Midfield,ENG - Championship,58.6,15.6,42.5,8.8
Kenny Tete,K. Tete,Fulham,Full Back,ENG - Premier League,21.7,52.0,39.5,14.7
Kevin Diks,K. Diks,Borussia Mönchengladbach,Central Defender,GER - Bundesliga,28.4,42.3,67.9,67.3
Kieran Tierney,K. Tierney,Celtic FC,Full Back,SCO - Premiership,25.4,58.7,39.1,53.4
Kieran Trippier,K. Trippier,Newcastle United,Full Back,ENG - Premier League,28.3,11.6,30.2,40.7
Jorge Resurrección Merodio,Koke,Atlético Madrid,Midfield,ESP - LaLiga,0.2,31.0,44.9,94.2
Kyle Walker,K. Walker,Burnley,Full Back,ENG - Premier League,97.0,62.1,44.9,11.6
Kyle Walker,K. Walker,Burnley,Full Back,ENG - Premier League,91.2,46.3,72.0,17.2
Kylian Mbappé Lottin,K. Mbappé,Real Madrid CF,Center Forward,ESP - LaLiga,99.2,94.2,43.8,0.4
Lawrence Shankland,L. Shankland,Heart of Midlothian,Center Forward,SCO - Premiership,23.0,12.2,57.5,68.1
Leandro Trossard,L. Trossard,Arsenal Football Club,Wide Attacker,ENG - Premier League,31.2,28.6,39.3,49.4
Leon  Goretzka,L. Goretzka,FC Bayern Munchen,Midfield,GER - Bundesliga,77.2,53.5,14.0,29.6
Liam Lindsay,L. Lindsay,Preston North End,Central Defender,ENG - Championship,23.0,21.3,55.2,36.6
Lucas Digne,L. Digne,Aston Villa,Full Back,ENG - Premier League,11.1,44.2,64.7,46.7
Lucas François Bernard Hernández Pi,L. Hernández,Paris Saint-Germain,Full Back,FRA - Ligue 1,50.3,52.4,64.0,31.6
Luka Modrić,L. Modrić,Milan,Midfield,ITA - Serie A,24.9,66.5,34.1,19.5
Luke Shaw,L. Shaw,Manchester United,Central Defender,ENG - Premier League,82.2,67.0,80.8,56.5
Manuel Akanji,M. Akanji,Inter Milan,Central Defender,ITA - Serie A,95.5,66.8,31.2,14.5
Manuel Akanji,M. Akanji,Inter Milan,Central Defender,ITA - Serie A,65.9,66.6,39.3,38.1
Marc Bartra Aregall,Marc Bartra,Real Betis Balompié,Central Defender,ESP - LaLiga,47.2,51.0,87.1,29.3
Marc-Oliver Kempf,M. Kempf,Como 1907,Central Defender,ITA - Serie A,66.1,70.2,28.2,50.2
Marcos  Alonso Mendoza,Marcos Alonso,RC Celta de Vigo,Central Defender,ESP - LaLiga,29.1,21.9,84.8,81.1
Marcus Fraser,M. Fraser,St. Mirren,Central Defender,SCO - Premiership,35.8,51.1,55.7,83.1
Marcus Rashford,M. Rashford,FC Barcelona,Wide Attacker,ESP - LaLiga,89.5,58.4,20.6,15.5
Mark  O'Hara,M. O'Hara,St. Mirren,Midfield,SCO - Premiership,20.9,27.4,21.3,52.7
Marten de Roon,M. de Roon,Atalanta,Midfield,ITA - Serie A,56.1,47.8,57.0,61.9
Martin Boyle,M. Boyle,Hibernian,Center Forward,SCO - Premiership,93.5,92.2,76.1,53.0
Marvin Ducksch,M. Ducksch,Birmingham City,Center Forward,ENG - Championship,1.1,24.3,27.9,54.1
Matt Grimes,M. Grimes,Coventry City Football Club,Midfield,ENG - Championship,47.9,49.1,17.4,26.6
Matt Grimes,M. Grimes,Coventry City Football Club,Midfield,ENG - Championship,22.0,27.9,28.8,28.6
Matt Targett,M. Targett,Middlesbrough,Full Back,ENG - Championship,4.1,14.7,1.0,7.7
Matteo Bianchetti,M. Bianchetti,US Cremonese,Central Defender,ITA - Serie A,10.0,17.8,92.2,82.8
Matty James,M. James,Wrexham FC,Midfield,ENG - Championship,22.0,25.0,16.8,39.5
Matthew Pennington,M. Pennington,Bradford City AFC,Central Defender,ENG - League One,6.9,68.0,90.2,99.6
Matthias Ginter,M. Ginter,SC Freiburg,Central Defender,GER - Bundesliga,16.2,28.0,18.0,34.3
Mauro Wilney Arambarri Rosa,M. Arambarri,Getafe CF,Midfield,ESP - LaLiga,59.7,54.8,80.4,29.3
Maximilian Arnold,M. Arnold,VfL Wolfsburg,Midfield,GER - Bundesliga,33.8,29.4,7.2,35.3
Maximilian Arnold,M. Arnold,VfL Wolfsburg,Midfield,GER - Bundesliga,13.0,31.9,2.0,35.3
Maximilian Eggestein,M. Eggestein,SC Freiburg,Midfield,GER - Bundesliga,15.5,41.8,57.4,65.3
Maximilian Mittelstädt,M. Mittelstädt,VfB Stuttgart,Full Back,GER - Bundesliga,27.2,42.3,23.4,55.1
Michael Keane,M. Keane,Everton,Central Defender,ENG - Premier League,35.0,61.5,15.6,18.0
Michał Helik,M. Helik,Oxford United,Central Defender,ENG - Championship,36.5,58.2,56.6,25.1
Mikel Oyarzabal Ugarte,Mikel Oyarzabal,Real Sociedad,Center Forward,ESP - LaLiga,48.6,53.2,88.0,47.0
Mohamed Salah Ghaly,Mohamed Salah,Liverpool Football Club,Wide Attacker,ENG - Premier League,89.9,57.4,28.5,14.8
Moses Daddy Simon,M. Simon,Paris FC,Wide Attacker,FRA - Ligue 1,52.5,41.7,27.9,13.6
Nadiem Amiri,N. Amiri,1. FSV Mainz 05,Midfield,GER - Bundesliga,78.8,39.1,22.3,38.7
Nemanja Gudelj,N. Gudelj,Sevilla FC,Central Defender,ESP - LaLiga,92.0,34.1,50.4,20.7
Nemanja Matić,N. Matić,Sassuolo,Midfield,ITA - Serie A,21.1,28.1,35.0,21.3
Nico Elvedi,N. Elvedi,Borussia Mönchengladbach,Central Defender,GER - Bundesliga,70.7,41.5,51.9,41.1
Nicolò Barella,N. Barella,Inter Milan,Midfield,ITA - Serie A,63.0,38.9,64.6,86.9
Olivier Giroud,O. Giroud,LOSC Lille,Center Forward,FRA - Ligue 1,13.1,14.4,22.4,51.5
Pablo Marí Villar,Pablo Marí,Fiorentina,Central Defender,ITA - Serie A,29.3,28.6,35.3,6.4
Patrick Roberts,P. Roberts,Birmingham City,Wide Attacker,ENG - Championship,3.8,20.5,60.2,70.3
Paul McGinn,P. McGinn,Motherwell,Central Defender,SCO - Premiership,13.6,39.9,29.4,71.9
Paul McGinn,P. McGinn,Motherwell,Central Defender,SCO - Premiership,39.6,28.6,15.9,57.7
Pedro Bigas Rigo,Pedro Bigas,Elche CF,Central Defender,ESP - LaLiga,47.0,44.1,62.3,81.1
Pierre-Emerick Aubameyang,P. Aubameyang,Olympique de Marseille,Center Forward,FRA - Ligue 1,90.0,80.8,65.1,28.4
Pierre-Emile Højbjerg,P. Højbjerg,Olympique de Marseille,Midfield,FRA - Ligue 1,78.4,39.6,53.1,13.3
Przemysław Frankowski,P. Frankowski,Stade Rennais FC,Full Back,FRA - Ligue 1,54.6,31.7,60.6,88.5
Ramy Bensebaini,R. Bensebaini,Borussia Dortmund,Central Defender,GER - Bundesliga,54.5,38.4,54.5,62.1
Rani Khedira,R. Khedira,FC Union Berlin,Midfield,GER - Bundesliga,43.9,20.8,63.0,38.4
Raúl Alonso Jiménez Rodríguez,R. Jiménez,Fulham,Center Forward,ENG - Premier League,44.8,38.7,48.9,19.6
Remo Freuler,R. Freuler,Bologna,Midfield,ITA - Serie A,3.7,38.8,40.8,74.8
Ricardo Iván Rodríguez Araya,R. Rodríguez,Real Betis Balompié,Full Back,ESP - LaLiga,6.3,12.3,41.8,2.7
Robert Lewandowski,R. Lewandowski,FC Barcelona,Center Forward,ESP - LaLiga,28.7,24.0,43.6,11.7
Roberto Gagliardini,R. Gagliardini,Hellas Verona,Midfield,ITA - Serie A,13.0,27.6,50.8,63.2
Rodrigo Hernández Cascante,Rodri,Manchester City,Midfield,ENG - Premier League,30.7,35.6,38.9,84.3
Rolando Mandragora,R. Mandragora,Fiorentina,Midfield,ITA - Serie A,21.0,16.3,17.2,38.4
Ryan McGowan,R. McGowan,Livingston FC,Central Defender,SCO - Premiership,50.5,43.8,13.9,8.9
Serhou Guirassy,S. Guirassy,Borussia Dortmund,Center Forward,GER - Bundesliga,47.3,29.8,79.7,50.4
Serge  Gnabry,S. Gnabry,FC Bayern Munchen,Midfield,GER - Bundesliga,65.9,54.0,74.7,84.1
Sergi Darder Moll,Sergi Darder,RCD Mallorca,Midfield,ESP - LaLiga,28.5,28.2,58.3,22.7
Simon Murray,S. Murray,Dundee FC,Center Forward,SCO - Premiership,59.0,35.5,82.9,73.4
Stefan Bell,S. Bell,1. FSV Mainz 05,Central Defender,GER - Bundesliga,3.4,15.3,35.7,60.3
Stephen Kingsley,S. Kingsley,Heart of Midlothian,Full Back,SCO - Premiership,1.4,11.3,57.1,37.0
Steve Cook,S. Cook,Queens Park Rangers,Central Defender,ENG - Championship,26.5,36.1,13.4,20.9
Stevie May,S. May,Livingston FC,Wide Attacker,SCO - Premiership,65.7,10.5,53.0,98.2
Stuart Findlay,S. Findlay,Heart of Midlothian,Central Defender,SCO - Premiership,62.9,54.1,41.7,2.5
Thomas Meunier,T. Meunier,LOSC Lille,Full Back,FRA - Ligue 1,52.4,28.4,62.6,96.8
Valentin Rongier,V. Rongier,Stade Rennais FC,Midfield,FRA - Ligue 1,13.3,33.2,66.9,91.6
Vincenzo Grifo,V. Grifo,SC Freiburg,Wide Attacker,GER - Bundesliga,14.4,24.8,27.5,91.8
Virgil van Dijk,V. van Dijk,Liverpool Football Club,Central Defender,ENG - Premier League,87.3,83.0,17.5,3.4
Waldemar Anton,W. Anton,Borussia Dortmund,Central Defender,GER - Bundesliga,43.6,53.6,95.7,98.4
Wesley Saïd,W. Saïd,RC Lens,Midfield,FRA - Ligue 1,72.9,76.8,27.0,22.0
Willi Orbán,W. Orbán,RB Leipzig,Central Defender,GER - Bundesliga,27.5,74.1,72.3,71.3
Youssef El-Arabi,Y. El-Arabi,FC Nantes,Center Forward,FRA - Ligue 1,23.8,24.1,67.9,70.7
Yuri Berchiche Izeta,Yuri Berchiche,Athletic Club de Bilbao,Full Back,ESP - LaLiga,64.2,58.4,70.5,24.6
Malang Sarr,M. Sarr,RC Lens,Central Defender,FRA - Ligue 1,61.2,74.2,76.4,58.5
Maxime López,M. López,Paris FC,Midfield,FRA - Ligue 1,24.5,35.6,67.0,74.5
Stanislav Lobotka,S. Lobotka,Napoli,Midfield,ITA - Serie A,5.9,48.6,48.9,75.4
Moussa Niakhaté,M. Niakhaté,Olympique Lyonnais,Central Defender,FRA - Ligue 1,22.1,33.7,38.0,42.3
Marcus Thuram-Ulien,M. Thuram,Inter Milan,Center Forward,ITA - Serie A,57.4,40.9,60.0,50.0
Ismaïla Sarr,I. Sarr,Crystal Palace,Midfield,ENG - Premier League,98.5,85.8,57.6,73.5
Weston  McKennie,W. McKennie,Juventus,Full Back,ITA - Serie A,8.9,14.5,71.5,99.4
Thilo Kehrer,T. Kehrer,AS Monaco,Central Defender,FRA - Ligue 1,40.5,28.4,58.1,36.4
Giovanni Pablo Simeone,G. Simeone,Torino,Center Forward,ITA - Serie A,37.4,37.6,37.7,64.9
Duje Ćaleta-Car,D. Ćaleta-Car,Real Sociedad,Central Defender,ESP - LaLiga,82.7,51.2,57.4,30.8
Boubacar Kamara,B. Kamara,Aston Villa,Midfield,ENG - Premier League,62.9,31.1,50.1,55.3
Alex Gogić ,A. Gogić,St. Mirren,Central Defender,SCO - Premiership,43.1,34.2,48.2,83.2
James  Tavernier,J. Tavernier,Rangers,Full Back,SCO - Premiership,11.3,42.6,11.9,53.7
Ross McCrorie,R. McCrorie,Bristol City,Full Back,ENG - Championship,74.4,52.9,92.2,95.7
Declan John,D. John,St. Mirren,Full Back,SCO - Premiership,31.0,81.5,42.4,88.7
Philipp Lienhart,P. Lienhart,SC Freiburg,Central Defender,GER - Bundesliga,23.5,41.8,68.0,86.0
Christian Günter,C. Günter,SC Freiburg,Full Back,GER - Bundesliga,72.0,22.7,20.3,52.6
Ruben Aguilar,R. Aguilar,RC Lens,Full Back,FRA - Ligue 1,18.8,42.0,97.2,99.0
Nordi Mukiele Mulere,N. Mukiele,Sunderland,Full Back,ENG - Premier League,40.6,32.1,33.1,19.1
Nordi Mukiele Mulere,N. Mukiele,Sunderland,Central Defender,ENG - Premier League,84.8,79.6,76.9,62.2
Carlos Soler Barragán,Carlos Soler,Real Sociedad,Midfield,ESP - LaLiga,44.6,32.3,76.0,88.6
Kelvin Amian Adou,K. Amian,FC Nantes,Full Back,FRA - Ligue 1,44.3,35.7,42.2,47.0
Mattéo Guendouzi Olié,M. Guendouzi,Lazio,Midfield,ITA - Serie A,44.1,37.9,62.9,47.4
Pablo Carmine Maffeo Becerra,Pablo Maffeo,RCD Mallorca,Full Back,ESP - LaLiga,54.4,17.8,35.2,0.7
Davis Keillor-Dunn,D. Keillor-Dunn,Barnsley FC,Center Forward,ENG - League One,12.7,38.0,76.4,98.1
Jessy Deminguet,J. Deminguet,FC Metz,Midfield,FRA - Ligue 1,20.8,40.8,73.9,92.4
Adrien  Tamèze,A. Tamèze,Torino,Central Defender,ITA - Serie A,93.1,76.7,90.3,98.0
Dayot Upamecano,D. Upamecano,FC Bayern Munchen,Central Defender,GER - Bundesliga,87.9,70.4,67.2,97.1
Marcel Sabitzer,M. Sabitzer,Borussia Dortmund,Midfield,GER - Bundesliga,59.7,59.1,35.6,77.8
Ainsley Maitland-Niles,A. Maitland-Niles,Olympique Lyonnais,Full Back,FRA - Ligue 1,59.0,54.7,58.3,23.2
Patrick Cutrone,P. Cutrone,Parma,Center Forward,ITA - Serie A,6.8,19.5,75.0,89.4
Guillermo Alfonso Maripán Loaysa,G. Maripán,Torino,Central Defender,ITA - Serie A,60.4,42.8,55.2,32.4
Lewis Dunk,L. Dunk,Brighton and Hove Albion,Central Defender,ENG - Premier League,82.6,43.2,41.5,37.2
Matthijs de Ligt,M. de Ligt,Manchester United,Central Defender,ENG - Premier League,85.6,45.5,43.5,5.4
Justin Kluivert,J. Kluivert,Bournemouth,Midfield,ENG - Premier League,97.6,94.8,66.2,49.0
Phil Foden,P. Foden,Manchester City,Midfield,ENG - Premier League,91.8,62.5,64.8,95.2
Ben Chilwell,B. Chilwell,RC Strasbourg Alsace,Full Back,FRA - Ligue 1,81.4,26.7,58.7,53.5
Diego Rico Salguero,Diego Rico,Getafe CF,Full Back,ESP - LaLiga,33.7,51.9,27.8,8.9
Marcos Llorente Moreno,Marcos Llorente,Atlético Madrid,Full Back,ESP - LaLiga,89.5,75.7,68.6,23.0
Mario Hermoso Canseco,Mario Hermoso,Roma,Central Defender,ITA - Serie A,38.5,47.5,86.0,84.2
Nicolas Cozza,N. Cozza,FC Nantes,Full Back,FRA - Ligue 1,2.9,17.4,61.1,85.7
Gianluca Mancini,G. Mancini,Roma,Central Defender,ITA - Serie A,40.6,39.2,48.2,42.5
Gianluca Mancini,G. Mancini,Roma,Central Defender,ITA - Serie A,29.4,54.3,91.9,95.5
Jules Koundé,J. Koundé,FC Barcelona,Full Back,ESP - LaLiga,67.5,79.0,66.3,59.8
Ethan Ampadu,E. Ampadu,Leeds United,Midfield,ENG - Premier League,85.7,38.7,32.4,53.7
Emerson Palmieri dos Santos,Emerson Palmieri,Olympique de Marseille,Full Back,FRA - Ligue 1,18.2,32.9,44.4,42.0
Max Clark,M. Clark,Gillingham FC,Full Back,ENG - League Two,13.6,27.1,22.8,20.6
Harry Wilson,H. Wilson,Fulham,Wide Attacker,ENG - Premier League,62.6,49.2,16.0,53.9
Scott McTominay,S. McTominay,Napoli,Midfield,ITA - Serie A,53.5,48.2,32.7,72.3
Romain Perraud,R. Perraud,LOSC Lille,Full Back,FRA - Ligue 1,57.7,43.4,94.0,90.2
Oumar Solet Bomawoko,O. Solet,Udinese,Central Defender,ITA - Serie A,72.1,80.2,88.9,52.6
Unai Núñez Gestoso,Unai Núñez,Hellas Verona,Central Defender,ITA - Serie A,10.1,42.8,75.1,58.3
Sam Clucas,S. Clucas,Shrewsbury Town,Full Back,ENG - League Two,16.9,10.4,10.3,52.9
Konrad Laimer,K. Laimer,FC Bayern Munchen,Full Back,GER - Bundesliga,40.4,30.7,67.9,72.9
Bernardo Fernandes da Silva Junior,Bernardo,TSG 1899 Hoffenheim,Full Back,GER - Bundesliga,6.8,20.0,47.0,45.0
Dominic Calvert-Lewin,D. Calvert-Lewin,Leeds United,Center Forward,ENG - Premier League,37.1,40.2,88.6,80.4
Juan Guilherme Nunes Jesus,Juan Jesus,Napoli,Central Defender,ITA - Serie A,69.0,34.4,61.1,67.4
Patrik Schick,P. Schick,Bayer 04 Leverkusen,Center Forward,GER - Bundesliga,11.8,28.8,16.8,63.4
Jean-Victor Makengo,J. Makengo,FC Lorient,Midfield,FRA - Ligue 1,37.1,50.6,64.3,45.8
Hee-Chan Hwang,Hwang Hee-Chan,Wolverhampton Wanderers,Center Forward,ENG - Premier League,40.7,50.4,68.7,75.9
Marin Pongračić,M. Pongračić,Fiorentina,Central Defender,ITA - Serie A,70.0,58.9,83.7,87.6
