"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position";"Position Group";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Alfonso Pedraza Sag ";"Alfonso Pedraza";"585";"1996-04-09";"Villarreal CF";"260";"ESP - LaLiga";"4";"2025/2026";"129";"LB";"Full Back";"93.07";"9";"0";"10719.78";"115.18";"1598.89";"715.22";"66.0";"309.11";"15.56";"1024.33";"81.56";"30.3";"30.94";"127.44";"9.78";"106.56";"21.56";"7.22";"0.67";"0.74";"3.22";"1.26";"1.38";"43.11";"2.06";"2.85";"10366.55";"115.18";"1546.2";"691.65";"63.83";"298.93";"15.04";"990.58";"78.87";"123.24";"9.46";"103.04";"20.85";"6.98";"3.12";"41.69"
"Álvaro García Rivera";"Álvaro García";"640";"1992-10-27";"Rayo Vallecano";"284";"ESP - LaLiga";"4";"2025/2026";"129";"LW";"Wide Attacker";"89.97";"14";"0";"9709.86";"107.93";"1275.14";"669.71";"79.14";"331.36";"19.86";"1001.07";"99.0";"30.82";"31.88";"110.79";"13.43";"90.43";"30.14";"10.36";"0.55";"0.62";"4.29";"1.02";"1.17";"55.43";"1.86";"2.67";"9713.58";"107.93";"1275.63";"669.97";"79.17";"331.48";"19.86";"1001.46";"99.04";"110.83";"13.43";"90.46";"30.15";"10.36";"4.29";"55.45"
"André-Frank Zambo Anguissa";"F. Anguissa";"713";"1995-11-16";"Napoli";"143";"ITA - Serie A";"5";"2025/2026";"129";"RM";"Midfield";"99.08";"8";"0";"11845.12";"119.55";"2092.75";"695.0";"56.38";"137.25";"7.62";"832.25";"64.0";"27.0";"27.74";"122.75";"4.5";"103.62";"16.75";"3.25";"0.71";"0.92";"0.75";"1.73";"1.79";"54.0";"1.95";"2.84";"10759.47";"119.55";"1900.94";"631.3";"51.21";"124.67";"6.93";"755.97";"58.13";"111.5";"4.09";"94.13";"15.21";"2.95";"0.68";"49.05"
"André Miguel Valente Silva";"André Silva";"749";"1995-11-06";"Elche CF";"286";"ESP - LaLiga";"4";"2025/2026";"129";"CF";"Center Forward";"85.96";"10";"0";"9361.9";"108.91";"1291.1";"581.6";"57.6";"183.9";"11.5";"765.5";"69.1";"28.55";"29.24";"103.2";"7.7";"86.7";"15.1";"4.6";"0.74";"0.78";"1.7";"1.52";"1.87";"41.4";"2.05";"null";"9801.71";"108.91";"1351.75";"608.92";"60.31";"192.54";"12.04";"801.46";"72.35";"108.05";"8.06";"90.77";"15.81";"4.82";"1.78";"43.34"
"Aymeric  Laporte";"Aymeric Laporte";"1142";"1994-05-27";"Athletic Club de Bilbao";"273";"ESP - LaLiga";"4";"2025/2026";"129";"LCB";"Central Defender";"97.68";"10";"0";"10151.8";"103.93";"1199.0";"421.7";"37.3";"99.9";"5.9";"521.6";"43.2";"28.3";"29.16";"106.2";"4.4";"89.3";"11.7";"3.5";"0.71";"0.77";"1.1";"1.33";"null";"22.9";"2.09";"2.94";"9353.46";"103.93";"1104.71";"388.54";"34.37";"92.04";"5.44";"480.58";"39.8";"97.85";"4.05";"82.28";"10.78";"3.22";"1.01";"21.1"
"Barry Bannan";"B. Bannan";"1184";"1989-12-01";"Sheffield Wednesday";"749";"ENG - Championship";"31";"2025/2026";"129";"DM";"Midfield";"95.71";"9";"0";"10191.0";"106.47";"1431.78";"439.33";"39.56";"123.0";"5.78";"562.33";"45.33";"28.44";"29.12";"103.44";"4.0";"89.11";"10.78";"3.33";"0.73";"0.89";"1.22";"1.46";"null";"23.22";"2.02";"3.1";"9582.71";"106.47";"1346.32";"413.11";"37.19";"115.66";"5.43";"528.77";"42.63";"97.27";"3.76";"83.79";"10.13";"3.13";"1.15";"21.84"
"Barry Bannan";"B. Bannan";"1184";"1989-12-01";"Sheffield Wednesday";"749";"ENG - Championship";"31";"2025/2026";"129";"LM";"Midfield";"98.13";"13";"0";"10328.85";"105.25";"1518.62";"454.69";"42.92";"154.69";"6.92";"609.38";"49.85";"28.86";"29.74";"110.92";"4.0";"94.46";"11.31";"2.77";"0.71";"0.8";"0.92";"1.39";"null";"25.46";"2.12";"3.1";"9472.66";"105.25";"1392.73";"417.0";"39.37";"141.87";"6.35";"558.87";"45.71";"101.73";"3.67";"86.63";"10.37";"2.54";"0.85";"23.35"
"Ben Mee";"B. Mee";"1249";"1989-09-21";"Sheffield United";"746";"ENG - Championship";"31";"2025/2026";"129";"LCB";"Central Defender";"97.97";"13";"0";"9509.69";"97.06";"1108.92";"343.92";"27.92";"67.23";"3.62";"411.15";"31.54";"26.92";"28.4";"100.08";"3.92";"77.0";"9.0";"2.15";"0.82";"0.87";"0.69";"1.63";"1.75";"15.31";"2.36";"2.95";"8735.68";"97.06";"1018.67";"315.93";"25.65";"61.76";"3.32";"377.69";"28.97";"91.93";"3.6";"70.73";"8.27";"1.98";"0.64";"14.06"
"Benjamin André";"B. André";"1267";"1990-08-03";"LOSC Lille";"78";"FRA - Ligue 1";"3";"2025/2026";"129";"LDM";"Midfield";"101.52";"9";"0";"11589.56";"114.16";"1920.0";"584.22";"51.11";"121.78";"7.11";"706.0";"58.22";"27.2";"27.84";"115.22";"3.67";"96.11";"15.67";"2.22";"0.73";"1.34";"0.44";"1.51";"null";"46.22";"2.06";"2.93";"10274.58";"114.16";"1702.15";"517.94";"45.31";"107.96";"6.3";"625.9";"51.62";"102.15";"3.25";"85.21";"13.89";"1.97";"0.39";"40.98"
"Benjamin Pavard";"B. Pavard";"1298";"1996-03-28";"Olympique de Marseille";"80";"FRA - Ligue 1";"3";"2025/2026";"129";"RCB";"Central Defender";"88.36";"11";"0";"9382.36";"106.18";"1122.45";"372.45";"35.82";"120.27";"6.64";"492.73";"42.45";"28.17";"29.2";"90.64";"3.82";"71.27";"9.82";"1.64";"0.74";"0.8";"0.45";"1.61";"null";"24.09";"2.1";"2.76";"9556.11";"106.18";"1143.24";"379.35";"36.48";"122.5";"6.76";"501.85";"43.24";"92.31";"3.89";"72.59";"10.0";"1.67";"0.46";"24.54"
"Bernardo Mota Veiga de Carvalho e Silva";"Bernardo Silva";"1326";"1994-08-10";"Manchester City";"40";"ENG - Premier League";"1";"2025/2026";"129";"RM";"Midfield";"95.24";"12";"0";"12198.0";"128.08";"2361.67";"798.0";"63.67";"151.25";"8.83";"949.25";"72.5";"27.23";"28.06";"117.58";"4.33";"93.25";"16.42";"2.5";"0.63";"0.78";"0.17";"null";"null";"61.33";"1.93";"2.62";"11527.18";"128.08";"2231.79";"754.11";"60.17";"142.93";"8.35";"897.05";"68.51";"111.12";"4.1";"88.12";"15.51";"2.36";"0.16";"57.96"
"Bertrand Isidore Traoré";"B. Traoré";"1337";"1995-09-06";"Sunderland";"35";"ENG - Premier League";"1";"2025/2026";"129";"RW";"Wide Attacker";"70.84";"8";"0";"7722.62";"109.02";"1183.62";"532.5";"51.25";"159.12";"9.62";"691.62";"60.88";"28.52";"29.24";"92.75";"7.88";"72.5";"20.12";"6.12";"0.7";"0.77";"1.62";"1.37";"1.57";"37.0";"1.96";"2.8";"9811.99";"109.02";"1503.86";"676.57";"65.12";"202.18";"12.23";"878.74";"77.34";"117.84";"10.01";"92.11";"25.57";"7.78";"2.06";"47.01"
"Borja Mayoral Moya";"Borja Mayoral";"1401";"1997-04-05";"Getafe CF";"268";"ESP - LaLiga";"4";"2025/2026";"129";"CF";"Center Forward";"92.07";"11";"0";"9723.82";"105.62";"1396.18";"628.73";"57.82";"151.18";"10.36";"779.91";"68.18";"27.37";"28.08";"101.27";"8.82";"83.09";"17.82";"5.0";"0.74";"0.79";"1.64";"1.55";"1.94";"47.18";"1.91";"2.92";"9505.39";"105.62";"1364.82";"614.6";"56.52";"147.79";"10.13";"762.39";"66.65";"99.0";"8.62";"81.22";"17.42";"4.89";"1.6";"46.12"
"Breel-Donald Embolo";"B. Embolo";"1458";"1997-02-14";"Stade Rennais FC";"79";"FRA - Ligue 1";"3";"2025/2026";"129";"CF";"Center Forward";"87.56";"14";"0";"8833.36";"100.89";"1172.93";"454.43";"48.86";"152.71";"9.29";"607.14";"58.14";"29.43";"30.6";"103.57";"9.93";"84.43";"18.79";"7.07";"0.6";"0.69";"2.64";"1.13";"1.33";"32.79";"2.05";"2.67";"9079.93";"100.89";"1205.67";"467.11";"50.22";"156.98";"9.54";"624.09";"59.77";"106.46";"10.21";"86.79";"19.31";"7.27";"2.72";"33.7"
"Brendan Galloway";"B. Galloway";"1460";"1996-03-17";"Plymouth Argyle";"1728";"ENG - League One";"101";"2025/2026";"129";"LB";"Full Back";"87.15";"11";"0";"9574.73";"109.87";"1255.36";"521.91";"53.09";"202.27";"10.64";"724.18";"63.73";"29.66";"31.28";"98.73";"8.0";"79.73";"15.09";"5.64";"0.64";"0.68";"1.36";"1.22";"1.4";"34.09";"1.89";"2.65";"9888.01";"109.87";"1296.44";"538.99";"54.83";"208.89";"10.98";"747.88";"65.81";"101.96";"8.26";"82.34";"15.58";"5.82";"1.41";"35.21"
"Bruno Miguel Borges Fernandes";"Bruno Fernandes";"1498";"1994-09-08";"Manchester United";"31";"ENG - Premier League";"1";"2025/2026";"129";"LM";"Midfield";"98.79";"13";"0";"11119.77";"112.56";"1788.46";"723.46";"64.0";"199.85";"11.0";"923.31";"75.0";"28.32";"29.14";"112.92";"6.15";"89.38";"15.08";"4.15";"0.63";"0.68";"0.77";"1.34";"1.5";"52.23";"1.88";"2.68";"10130.0";"112.56";"1629.27";"659.07";"58.3";"182.06";"10.02";"841.12";"68.32";"102.87";"5.61";"81.43";"13.73";"3.78";"0.7";"47.58"
"Bryan Cristante";"B. Cristante";"1537";"1995-03-03";"Roma";"142";"ITA - Serie A";"5";"2025/2026";"129";"RM";"Midfield";"91.87";"16";"0";"11405.5";"124.15";"2037.81";"581.06";"45.75";"87.56";"5.0";"668.62";"50.75";"26.91";"28.74";"96.56";"2.88";"83.88";"10.44";"1.75";"0.74";"0.8";"0.19";"null";"null";"38.56";"1.85";"2.78";"11173.49";"124.15";"1996.36";"569.24";"44.82";"85.78";"4.9";"655.02";"49.72";"94.6";"2.82";"82.17";"10.23";"1.71";"0.18";"37.78"
"Callum McGregor";"C. McGregor";"1570";"1993-06-14";"Celtic FC";"248";"SCO - Premiership";"18";"2025/2026";"129";"DM";"Midfield";"96.08";"14";"0";"12137.86";"126.34";"2017.36";"474.07";"41.07";"74.86";"4.79";"548.93";"45.86";"26.36";"27.78";"96.57";"3.64";"76.93";"6.14";"2.5";"0.7";"0.77";"0.43";"1.47";"1.57";"36.21";"2.0";"2.68";"11370.36";"126.34";"1889.8";"444.1";"38.47";"70.12";"4.48";"514.22";"42.96";"90.47";"3.41";"72.06";"5.75";"2.34";"0.4";"33.92"
"Callum Paterson";"C. Paterson";"1573";"1994-10-13";"Milton Keynes Dons";"755";"ENG - League Two";"204";"2025/2026";"129";"CF";"Center Forward";"94.06";"22";"0";"10394.05";"110.5";"1538.59";"748.73";"70.5";"291.73";"15.73";"1040.45";"86.23";"29.4";"31.46";"104.95";"8.91";"86.68";"17.09";"6.36";"0.7";"0.73";"2.05";"1.33";"1.63";"41.14";"1.76";"2.78";"9945.17";"110.5";"1472.15";"716.39";"67.46";"279.13";"15.05";"995.52";"82.5";"100.42";"8.52";"82.94";"16.35";"6.09";"1.96";"39.36"
"Callum Wilson";"C. Wilson";"1575";"1992-02-27";"West Ham United";"37";"ENG - Premier League";"1";"2025/2026";"129";"CF";"Center Forward";"78.61";"8";"0";"8180.88";"104.06";"1010.0";"434.0";"39.5";"114.0";"6.75";"548.0";"46.25";"28.3";"29.14";"87.5";"6.12";"71.5";"10.88";"5.12";"0.75";"0.78";"1.38";"1.66";"1.9";"32.0";"2.19";"3.23";"9365.68";"104.06";"1156.27";"496.85";"45.22";"130.51";"7.73";"627.36";"52.95";"100.17";"7.01";"81.86";"12.45";"5.87";"1.57";"36.63"
"Calum Chambers";"C. Chambers";"1577";"1995-01-20";"Cardiff City";"61";"ENG - League One";"101";"2025/2026";"129";"LCB";"Central Defender";"97.1";"15";"0";"10436.93";"107.48";"1483.07";"434.8";"38.2";"86.4";"4.87";"521.2";"43.07";"27.33";"29.28";"111.67";"5.47";"84.27";"10.53";"2.87";"0.64";"0.66";"0.27";"1.69";"null";"23.73";"2.07";"2.93";"9673.34";"107.48";"1374.56";"402.99";"35.41";"80.08";"4.51";"483.07";"39.92";"103.5";"5.07";"78.1";"9.76";"2.66";"0.25";"22.0"
"Carlton Morris";"C. Morris";"1668";"1995-12-16";"Derby County FC";"359";"ENG - Championship";"31";"2025/2026";"129";"CF";"Center Forward";"97.91";"12";"0";"10673.67";"109.02";"1327.17";"537.58";"50.33";"144.0";"7.17";"681.58";"57.5";"28.18";"29.62";"102.75";"7.58";"81.25";"15.42";"5.0";"0.72";"0.82";"1.25";"1.38";"1.69";"30.83";"2.07";"2.62";"9811.8";"109.02";"1220.0";"494.18";"46.27";"132.37";"6.59";"626.55";"52.86";"94.45";"6.97";"74.69";"14.17";"4.6";"1.15";"28.34"
" Carlos Henrique José Francisco Venancio Casimiro";"Casemiro";"1674";"1992-02-23";"Manchester United";"31";"ENG - Premier League";"1";"2025/2026";"129";"RM";"Midfield";"84.58";"12";"0";"9652.0";"114.12";"1430.17";"427.33";"35.42";"76.17";"3.92";"503.5";"39.33";"26.8";"27.74";"96.67";"3.17";"75.17";"11.08";"1.5";"0.83";"0.93";"0.33";"null";"null";"32.42";"1.96";"2.76";"10270.78";"114.12";"1521.85";"454.73";"37.69";"81.05";"4.17";"535.78";"41.85";"102.86";"3.37";"79.99";"11.79";"1.6";"0.35";"34.49"
"Cauley Woodrow";"C. Woodrow";"1682";"1994-12-02";"Wycombe Wanderers";"1546";"ENG - League One";"101";"2025/2026";"129";"CF";"Center Forward";"88.16";"14";"0";"9827.21";"111.48";"1463.07";"600.5";"51.14";"104.86";"7.21";"705.36";"58.36";"26.62";"27.62";"99.79";"6.14";"81.36";"14.36";"3.36";"0.79";"0.9";"1.0";"1.55";"null";"34.0";"1.96";"2.87";"10032.78";"111.48";"1493.68";"613.06";"52.21";"107.05";"7.37";"720.11";"59.58";"101.87";"6.27";"83.06";"14.66";"3.43";"1.02";"34.71"
"Chidozie Collins Awaziem";"C. Awaziem";"1774";"1997-01-01";"FC Nantes";"66";"FRA - Ligue 1";"3";"2025/2026";"129";"RCB";"Central Defender";"98.84";"15";"0";"9946.53";"100.63";"1285.33";"456.27";"46.4";"163.47";"9.6";"619.73";"56.0";"29.34";"31.22";"114.13";"5.67";"88.53";"18.4";"4.6";"0.72";"0.78";"1.87";"1.35";"1.37";"23.73";"2.06";"2.93";"9056.64";"100.63";"1170.34";"415.45";"42.25";"148.84";"8.74";"564.29";"50.99";"103.92";"5.16";"80.61";"16.75";"4.19";"1.7";"21.61"
"Christian  Dannemann Eriksen";"C. Eriksen";"1827";"1992-02-14";"VfL Wolfsburg";"106";"GER - Bundesliga";"6";"2025/2026";"129";"RW";"Wide Attacker";"93.26";"8";"0";"12267.62";"131.55";"2268.62";"873.5";"73.0";"215.25";"13.62";"1088.75";"86.62";"28.27";"28.98";"129.25";"5.25";"106.62";"19.88";"3.75";"0.82";"0.93";"1.12";"1.7";"null";"55.75";"1.9";"2.71";"11839.27";"131.55";"2189.41";"843.0";"70.45";"207.73";"13.15";"1050.73";"83.6";"124.74";"5.07";"102.9";"19.18";"3.62";"1.09";"53.8"
"Christian Kabasele";"C. Kabasele";"1835";"1991-02-24";"Udinese";"148";"ITA - Serie A";"5";"2025/2026";"129";"CB";"Central Defender";"92.47";"14";"0";"9240.21";"99.93";"1060.0";"347.79";"33.21";"122.79";"6.36";"470.57";"39.57";"29.16";"30.58";"94.57";"4.29";"75.5";"8.86";"2.79";"0.73";"0.81";"1.07";"1.43";"1.54";"20.71";"1.98";"2.87";"8993.26";"99.93";"1031.67";"338.49";"32.33";"119.5";"6.19";"457.99";"38.51";"92.04";"4.17";"73.48";"8.62";"2.71";"1.04";"20.16"
"Christian Pulišić";"C. Pulišić";"1849";"1998-09-18";"Milan";"140";"ITA - Serie A";"5";"2025/2026";"129";"CF";"Center Forward";"83.09";"9";"0";"10218.89";"122.98";"1594.44";"590.0";"56.22";"218.33";"11.0";"808.33";"67.22";"29.06";"29.68";"105.44";"6.89";"86.44";"13.33";"5.0";"0.65";"0.7";"1.56";"1.41";"1.51";"47.33";"2.09";"2.95";"11068.38";"122.98";"1726.99";"639.05";"60.9";"236.48";"11.91";"875.53";"72.81";"114.21";"7.46";"93.63";"14.44";"5.42";"1.68";"51.27"
"Chris Cadden";"C. Cadden";"1886";"1996-09-19";"Hibernian";"245";"SCO - Premiership";"18";"2025/2026";"129";"RWB";"Full Back";"85.48";"12";"0";"9745.0";"114.0";"1493.08";"629.25";"61.67";"266.25";"13.67";"895.5";"75.33";"30.02";"31.12";"104.67";"9.75";"88.42";"20.58";"7.67";"0.6";"0.62";"2.75";"1.37";"1.4";"37.58";"2.15";"2.63";"10260.23";"114.0";"1572.02";"662.52";"64.93";"280.33";"14.39";"942.85";"79.32";"110.2";"10.27";"93.09";"21.67";"8.07";"2.9";"39.57"
"Christopher Nkunku";"C. Nkunku";"1896";"1997-11-14";"Milan";"140";"ITA - Serie A";"5";"2025/2026";"129";"CF";"Center Forward";"81.83";"9";"0";"9044.11";"110.52";"1247.33";"510.56";"49.78";"160.44";"9.44";"671.0";"59.22";"28.9";"30.06";"105.11";"7.22";"87.78";"13.78";"5.11";"0.65";"0.68";"2.0";"1.26";"1.53";"31.22";"2.06";"2.93";"9946.68";"110.52";"1371.81";"561.51";"54.75";"176.46";"10.39";"737.96";"65.13";"115.6";"7.94";"96.54";"15.15";"5.62";"2.2";"34.34"
"Clark Robertson";"C. Robertson";"1927";"1993-09-05";"Dundee FC";"254";"SCO - Premiership";"18";"2025/2026";"129";"CB";"Central Defender";"96.75";"8";"0";"10098.0";"104.37";"1108.5";"328.0";"30.88";"83.25";"4.25";"411.25";"35.12";"27.77";"28.72";"104.62";"4.62";"83.38";"9.12";"2.88";"0.9";"0.92";"0.75";"null";"null";"15.38";"2.41";"null";"9393.49";"104.37";"1031.16";"305.12";"28.72";"77.44";"3.95";"382.56";"32.67";"97.33";"4.3";"77.56";"8.49";"2.67";"0.7";"14.3"
"Clinton Mukoni Mata Pedro Lourenço";"Clinton Mata";"1967";"1992-11-07";"Olympique Lyonnais";"73";"FRA - Ligue 1";"3";"2025/2026";"129";"RCB";"Central Defender";"97.63";"19";"0";"10107.0";"103.52";"1250.74";"416.47";"41.11";"120.42";"7.42";"536.89";"48.53";"28.94";"30.44";"102.58";"4.58";"77.11";"12.05";"3.74";"0.66";"0.67";"1.37";"1.31";"1.47";"28.74";"2.0";"2.74";"9317.05";"103.52";"1152.98";"383.92";"37.89";"111.01";"6.84";"494.93";"44.73";"94.56";"4.22";"71.08";"11.11";"3.44";"1.26";"26.49"
"Daley Blind";"D. Blind";"2106";"1990-03-09";"Girona FC";"348";"ESP - LaLiga";"4";"2025/2026";"129";"LCB";"Central Defender";"95.69";"18";"0";"10195.61";"106.55";"1293.56";"411.94";"35.22";"68.83";"4.83";"480.78";"40.06";"26.88";"28.38";"110.0";"3.78";"91.11";"13.22";"2.5";"0.78";"0.87";"0.44";"1.7";"null";"32.5";"1.79";"2.8";"9589.56";"106.55";"1216.66";"387.46";"33.13";"64.74";"4.55";"452.2";"37.67";"103.46";"3.55";"85.7";"12.44";"2.35";"0.42";"30.57"
"Dan Burn";"D. Burn";"2184";"1992-05-09";"Newcastle United";"32";"ENG - Premier League";"1";"2025/2026";"129";"LCB";"Central Defender";"101.14";"8";"0";"10467.25";"103.5";"1422.25";"469.5";"43.5";"156.62";"8.12";"626.12";"51.62";"28.89";"29.34";"103.25";"5.25";"79.75";"11.0";"4.88";"0.76";"0.83";"1.12";"1.58";"null";"26.62";"2.09";"2.97";"9314.57";"103.5";"1265.63";"417.8";"38.71";"139.38";"7.23";"557.17";"45.94";"91.88";"4.67";"70.97";"9.79";"4.34";"1.0";"23.69"
